English	Namhsan	Khun Hawt	Htan Hsan	Pangkham	Man Loi	Meng Dan	Chu Dong Gua	Xiang Zhai Tang	Pong Nuea	Nyaung Gone	Noe Lae	Ban Paw	Cha Ye Qing	Guang Ka	Mang Bang	Nan Sang
fat 	priaŋ	priaŋ	priaŋ	briaŋ	briaŋ	priaŋ	priaŋ	briaŋ	briaŋ	briak	briaŋ	briaŋ	bjoŋ	pjoŋ	pjoŋ	pjoŋ
skin	hur	hur	huːr	huːn	hur	hur	hur	huːn	huːn	hun	hun	hun	huː	huː	huː	huː
blood	n̥aːm	n̥aːm	n̥aːm	n̥a:m	n̥aːm	n̥ɛːm	n̥aːm	n̥aːm	n̥aːm	n̥am	n̥am	n̥am	n̥aːm	n̥aːm	n̥aːm	n̥aːm
person	 human	1	1	1	1	1	1	1	2	3	 duʔi	duɁi	duɁɨj	duʔuj	taɁiː	taɁiː
child	kuan	-----	kuan 	ɡɔːn	ɡɔːn	kɔnɲɔm	kɔːn	ɡɔːn	ɡɔːn	ɡɔn	ɡɔn	ɡɔn	koːn	kɔːn	kɔːn	kɔːn
name	ʨɨː	ʥɨː	ʥɨː	ʨɨː	ʨɨː	ʨɨː	ʨɨː	ʨɨː	ʨɨː	cɨ	cɨ	cɨ	ʥɨː	-----	ʥɨː	ʨɨː
road	 path	1	1	1	1	1	*	1	1	1	1	1	1	2	2	2
sew 	ʥɨŋ	ʥeɲ	ʥiɲ	ʨiŋ	ʨin	ʨiŋ	ʥiŋ	ʨiɲ	ʨiɲ	cin	ciɲ	cin	ʥen	kaʥən	ʥən	ʥən
fire	ŋar	ŋar	ŋal	ŋɔː	ŋɔː	ŋal	ŋɔr	ŋɔː	ŋɔː	ŋɔ	ŋɔ	ŋɔ	ŋaj	ŋaj	ŋaj	ŋaiɁ
ashes	kafaːŋ	kafaːŋ	kafaːŋ	kafaːŋ	kafaːŋ	kəfɛːŋ	kafaːŋ	kafaːŋ	brɔŋɔː	brɔ ŋɔ	brɔ ŋɔ	brɔ ŋɔ	kafaːŋ	kafaːŋ	kafaːŋ	kafaːŋ 
smoke	ɗɨʔŋar	ɗәk	ɗәkŋal	ɗɔk ŋɔː	ɗak	ɗɔʔ	ɗɔːk	dak	dak	dăk	dăk	dăk	ɗak	tak	tak	tak
smell	khriɁ	kruət 	khrɨʔ	khrɔːt	khrit 	ʔujh	ʔujh	Ɂuh	ɲ̥ɔːɁ	ɲ̥ɔʔ	ɲ̥ɔɁ	ɲ̥ɔɁ	ʔuh	ɲɔjɁ	ɲɔːj?	ɲɔjɁ
see	ŋәːp	ʥәː	jəː	ʥәɯ	ʥәː	ʥɨː	jɨː	jəɯ	jəɯ	jə	jə	jə	ʥeːw	jew	jew	jew
eat	hɔːm	hɔːm	hɔm	hɔːm	hɔːm	hɔːm	hoːm	hoːm	hoːm	hom	hom	hom	hoːm	hoːm	hom	hoːm
drink	ɗiaŋ	tiaŋ	ɗiaŋ	ɗiaŋ	ɗiaŋ	diaŋ	diaŋ	diaŋ	diaŋ	diak	diaŋ	diaŋ	ʨoŋ	ʨoŋ	ʨoŋ	ʨoŋ
spit 	bɛɁ	baic	baic	paɁ	paiɁ ɓaiɁ	peʔ	bɛ?	pec 	paic	păt	păc	păt	bat	bat	bat	bat
breathe 	khriɁ phә:m	kanhɔh phә:m	kәnɁɔh phәːm	thuj phәːm	phәːm leh	phəːm	həh phəːm	hək phəːm	hək phəːm	phəm	hə̆k phəm	hə̆k phəm	doh pheːm	toh phɛːm	toh phəːm	tohphəːm
laugh	jum	ʥum	ʥum	kanɲah	kaɲah	kaŋiah	kəɲajh	kaɲah	kaɲah	kaɲăh	kaɲăh	kaɲăh	kəɲah	kəɲah	kəɲah	kaɲah
know	nap	nap	nap	nap	naɁ	nap	nap	nap	nap	năp	năp	năp	nɔʔ	nɔːʔ	nɔːʔ	naː
fear	ʥɔː	jow	ʥoː	ʥoː	ʥɔː	ʥoː	joː	-----	jow	kacua	kacua	jo	ʥaw	jaw	jaw	jaw
sleep	ɁiɁ	Ɂiːt	ɁiɁ	Ɂiːt	Ɂit	ʔit	ʔit	ʔiʔ	ʔiːʔ	ʔiʔ	ɁiɁ	ʔit	ɁiɁ	ɁiɁ	ɁiɁ	ɁiɁ
scratch	graːɁ	kraːjɁ	kraːjɁ	kriah	kriaɁ	boʔ	boʔ	bouɁ	bouɁ	bouʔ	bouɁ	bouɁ	ɓok	pok	pok	kabaːn
die	jam	jam	jam	jam	jaːm	ʥam	jam	jam	jam	jăm	jăm	jăm	ʥɔːm	ʥɔːm	jɔm	jɔm
sit	mɔɁ	moɁ 	mɔɁ	mɔŋ	mɔŋ	ŋoːj	ŋoːj	kɔj	tuic	tuc	tuc	tut	Ɂak	Ɂɔk	Ɂɔk	Ɂak
stand	ʥәŋ	ʥaŋ	ʥaŋ	ʨaŋ	ʨaŋ	ʨaŋ	ʥaŋ	ʨɔŋ	ʨɔŋ	cɔk	cɔŋ	cɔŋ	ʥaŋ	ʥɔŋ	ʥɔŋ	ʥɔŋ
fall	 to drop	1	1	1	1	1	1	1	*	1	1	1	1	1	1	1
give	dɛh	daih	daih	deh	tɛh	deh	dɛh	tajh	taih	taih	taih	taih	dɛh	dɛh	dɛh	dɛh
rub hard with both hands 	sakuaɁ	dudit	thutheiɁ	sabɔt	saɓɔɁ	thuʔɗaj	səɓɔːt ɗaj	saboɁ	sabɔːɁ	sabɔʔ	sabɔ	sabɔɁ	səboɁ	thuthik 	thuthiː	thuthiː
cut	ɡәp	ɡәp	ɡәp	kap	kap	kiap	kap	kəp	kəp	kăp	kə̆p	kakə̆p	kep	kjap	kiap	kiap
dig 	kәhɓɨŋ	kәːŋ 	kәːŋ	ɡəh	ɡəh	loʔ	loʔ	ɡəx	ɡəh	ɡə̆h	ɡə̆h	ɡə̆h	khut	lok	lok	kəh
burn 	ɡuɁ	ɡuːt	ɡuːɁ	ɗɔk	ɗok	ɗoʔ	ɗoʔ	douɁ	douɁ	douʔ	douɁ	douɁ	ɗok	tok	tok	tok
hunt	biam 	koh priː	luaŋbrej	kuh praj	khrɔh praj	lip riŋ	klɔː brai	lɨpprɛː	ŋauh	lɛ khɛ prɛ	lɛ prɛ	ba prɛ	ləp bjaj	pai toː	lɛː	jɨtoː
kill	biam	piam	ɓiam	ŋɔh	ŋah	ŋah	ŋah	ŋɔh	ŋauh	ŋauh	ŋauh	ŋauh	ŋɔh	ŋai?	ŋaj	ŋai
one	Ɂur	Ɂuː	Ɂu:	Ɂuː	Ɂuː	luʔ	Ɂuː	Ɂuː	2 or 3	3	 l̥eih	Ɂu	2	 l̥eih	ʔuː	Ɂuː
two	Ɂar	Ɂar	Ɂa:	Ɂaː	Ɂɛː	ʔɛː	Ɂaː	Ɂaː	Ɂaː	haʔa	Ɂa	Ɂa	ʔeː	ʔɛː	ʔɛː	Ɂaː
three	Ɂuaj	Ɂuaj	Ɂuaj	Ɂuaj	Ɂuaj 	ʔoj	Ɂoj	Ɂoːj	Ɂoːj	ʔoj	Ɂoj	Ɂoj	ʔoːj	ʔoːj	ʔoːj	Ɂoj
four	phon	phon	phoːn	phuan	phɔːn	phon	phɔn	mphuan	mphaun	m phuan	m phuan	phuan	phoːm	phoːn	phoːm	phon
many	bram	sәp	2	3	4	4	1	1	*	*	5	5	5	5	5	5
long	r̥әŋr̥әŋ	l̥әːŋ	l̥әːŋ	d̤oŋ	toŋ	doŋ	doŋ	-----	toŋ	tok	toŋ	toŋ	doŋ	doŋ	doŋ	doŋ
full	nɔɁ	noɁ	nauɁ	noɁ	nok	noʔ	nok	nouɁ	nouɁ	nouʔ	nouɁ	nouɁ	nok	nok	nok	nok
right side	khɔn Ɂidam	khɔnnap	khɔnnap	ʔaʔɔh	ʔaʔɔh	diŋʔaʔɔjh	dua?ɔjh	naɁah	ʔaʔah	ʔaʔăh	ɁaɁăh	naɁăh	naʔeh	ɁaɁɛh	ɁaɁəh	ɁaɁəh
left side	khɔn Ɂiveː	khɔnkanap	khɔnkanap	ʔakaʔ	ʔaɡaʔ	ʔakɛʔ	?aka?	naɡaɁ	ʔaɡaɁ	ʔaɡăʔ	ɁaɡăɁ	naɡăɁ	nakaʔ	ɁakaɁ	ɁakaɁ	ɁakaɁ
far	saŋaːj	saŋaːj	saŋaːj	doŋ	toŋ	doŋ	doŋ	toŋ	toŋ	n tok	toŋ	toŋ	doŋ	doŋ	doŋ	doŋ
near	tadaɁ	dat	dat	Ɂad̤at	taɁ	ndat	dat	mtat	khriaɁ	khriaʔ	khriaɁ	khriaɁ	ndɔʔ	təʨɔm	kaʨam	kaʨam
this	haɁɨː	Ɂanin	Ɂanin	niː	naŋɁɨː	ɗuʔɯː	ha?ɨ	Ɂaniː	nɨj	ni	ni	nɨj	ʔanin	niː	Ɂaniː	Ɂani
black	ʥәm	ʥәm	ʥәm	vaŋ	vaŋ	vaŋ	vaŋ	vɔŋ	vɔŋ	vɔk	vɔŋ	vɔŋ	vaŋ	vɔŋ	vɔŋ	Ɂivɔŋ
white	blɔɁ	blɔːɁ	plɔʔ	luːj	luːj	plɔʔ	blɔʔ	luːj 	luːj	luj	luj	luj	lɨjh	luj	luːj	Ɂiluj
new	kәnmɛː	karmej	kәnmej	kamaːj	kamaːj	kamaj	kamaj	kamaːj	kamaːj	kamaj	kamaj	kamaj	ləmaj	tamaːj	tamaːj	tamaːj
old-aged	konʨhaː	paɁaːn	pәɁaːn	kat	kaɁ	kɛt	ɡat	kat	kat	kăt	kăt	kăt	ɡɔʔ	ɡɔːʔ	ɡɔːʔ	ɡɔɁ
cold	kat	kat	kat 	ɡiaɁ	ɡaɁ	ɡat	kat	ɡat	ɡat	ɡăt	ɡăt	ɡăt	kok	kɔːɁ	kɔːɁ	kɔːɁ
heavy	ʥan	ʥan	ʥan	ʨan	ʨɔn	ʨan	ʥɔːn	ʨan	ʨan	căn	căn	can	ʥɔːn	ʥɔn	ʥɔːn	ʥan
who?	ʔase mimәh	siɁan mɔh	simimɔh	Ɂaseː	Ɂasej	ʔi siː	siːn muh	Ɂasej	ʔasej	ʔase	Ɂase	Ɂase	ʔasi	siː	si dəh	ʨhim̥əː
what?	sinmә haɁɨː	simɔh	sәnmәh	simuh	simuh	sinəmuh	siːnmuh	masej	masej	mase	mase	mase	səmuh	səmoh	si	ʨhənm̥əː
I	Ɂɔː	Ɂoː	Ɂɔː	-----	Ɂɔː	ʔoː	ʔoː	Ɂow	Ɂow	ʔo	Ɂo	Ɂo	Ɂaw	Ɂau	Ɂaw	Ɂaw
you (sg.)	miː	miː	miː	maj	maj	məj	mɔːj	mɛː	mɛː	mɛ	mɛ	mɛ	maj	maj	maj	maj
