ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
125	8_year	None	ChaYeQing	Cha Ye Qing	khanam	khanam	kʰ a n a m		1226	24.305717	98.463661	
126	8_year	None	GuangKa	Guang Ka	sanam	sanam	s a n a m	ruma1248	1226	24.065714	97.796281	
127	8_year	None	MangBang	Mang Bang	sanam	sanam	s a n a m	ruma1248	1226	24.416392	98.399078	
128	8_year	None	NanSang	Nan Sang	sanam	sanam	s a n a m	ruma1248	1226	24.019728	97.819736	
129	9_water	None	NamHsan	Namhsan	ʔoːm	ʔoːm	ʔ oː m		948	22.965064	97.163239	
130	9_water	None	KhunHawt	Khun Hawt	ʔoːm	ʔoːm	ʔ oː m		948	22.965064	97.163239	
131	9_water	None	HtanHsan	Htan Hsan	ʔoːm	ʔoːm	ʔ oː m		948	22.675133	97.289942	
132	9_water	None	PangKham	Pangkham	ʔoːm	ʔoːm	ʔ oː m		948	22.672097	97.161167	
133	9_water	None	ManLoi	Man Loi	ʔoːm	ʔoːm	ʔ oː m		948	22.636019	97.139264	
134	9_water	None	MengDan	Meng Dan	ʔuːm	ʔuːm	ʔ uː m	khan1274	948	24.296522	98.379886	
135	9_water	None	ChuDongGua	Chu Dong Gua	ʔuːm	ʔuːm	ʔ uː m		948	24.330889	98.393125	
136	9_water	None	XiangZhaiTang	Xiang Zhai Tang	Ɂɨm	Ɂɨm	ʔ ɨ m	ruma1248	948	24.323819	98.556639	
137	9_water	None	PongNuea	Pong Nuea	ʔɨm	ʔɨm	ʔ ɨ m		948	20.321525	99.866817	
138	9_water	None	NyaungGone	Nyaung Gone	ʔɨm	ʔɨm	ʔ ɨ m		948	20.635025	96.545772	
139	9_water	None	NoeLae	Noe Lae	ʔɨm	ʔɨm	ʔ ɨ m		948	19.941803	99.044742	
140	9_water	None	BanPaw	Ban Paw	Ɂɨm	Ɂɨm	ʔ ɨ m		948	21.311225	99.557550	
141	9_water	None	ChaYeQing	Cha Ye Qing	ʔɛm	ʔɛm	ʔ ɛ m		948	24.305717	98.463661	
142	9_water	None	GuangKa	Guang Ka	ʔɛm	ʔɛm	ʔ ɛ m	ruma1248	948	24.065714	97.796281	
143	9_water	None	MangBang	Mang Bang	Ɂəm	Ɂəm	ʔ ə m	ruma1248	948	24.416392	98.399078	
144	9_water	None	NanSang	Nan Sang	Ɂəm	Ɂəm	ʔ ə m	ruma1248	948	24.019728	97.819736	
145	10_earthsoil	None	NamHsan	Namhsan	kәɗɛː	kәɗɛː	k ə ɗ ɛː		1228	22.965064	97.163239	
146	10_earthsoil	None	KhunHawt	Khun Hawt	kәndɛj	kәndɛj	k ə n d ɛ j		1228	22.965064	97.163239	
147	10_earthsoil	None	HtanHsan	Htan Hsan	kaɗej	kaɗej	k a ɗ e j		1228	22.675133	97.289942	
148	10_earthsoil	None	PangKham	Pangkham	kaɗaːj	kaɗaːj	k a ɗ aː j		1228	22.672097	97.161167	
149	10_earthsoil	None	ManLoi	Man Loi	kaɗaːj	kaɗaːj	k a ɗ aː j		1228	22.636019	97.139264	
150	10_earthsoil	None	MengDan	Meng Dan	kədaj	kədaj	k ə d a j	khan1274	1228	24.296522	98.379886	
151	10_earthsoil	None	ChuDongGua	Chu Dong Gua	kaɗaːj	kaɗaːj	k a ɗ aː j		1228	24.330889	98.393125	
152	10_earthsoil	None	XiangZhaiTang	Xiang Zhai Tang	kadɛːj	kadɛːj	k a d ɛː j	ruma1248	1228	24.323819	98.556639	
